"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1378","4/13/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","1378_ANHU"
"1379","4/13/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1379_ANHU"
"1380","4/13/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1380_ANHU"
"1381","4/13/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1381_ANHU"
"1382","4/13/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","1382_ANHU"
"1383","4/14/1998","Released","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Spring","caught by domestic animal","Non-selasphorus spp.","1383_ANHU"
"1384","4/14/1998","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","window hit","Selasphorus spp.","1384_RUHU"
"1385","4/15/1998","Died","Lindsey","No","Non-selasphorus","unknown","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1385_COHU"
"1386","4/16/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found inside","Non-selasphorus spp.","1386_ANHU"
"1387","4/17/1998","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found inside","Selasphorus spp.","1387_ALHU"
"1388","4/18/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1388_ANHU"
"1389","4/19/1998","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","1389_RUHU"
"1390","4/20/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1390_ANHU"
"1391","4/20/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1391_ANHU"
"1392","4/21/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1392_ANHU"
"1393","4/21/1998","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1393_ANHU"
"1394","4/21/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1394_ANHU"
"1395","4/21/1998","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1395_ANHU"
"1396","4/21/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1396_ANHU"
"1397","4/22/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","1397_ANHU"
"1398","4/22/1998","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","window hit","Selasphorus spp.","1398_ALHU"
"1399","4/24/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",15,"Spring","nest-related","Non-selasphorus spp.","1399_ANHU"
"1400","4/24/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",15,"Spring","found on the ground","Non-selasphorus spp.","1400_ANHU"
"1401","4/26/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","1401_ANHU"
"1402","4/26/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1402_ANHU"
"1403","4/27/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1403_ANHU"
"1404","4/27/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1404_ANHU"
